id,,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
34254323,,Luxury Studio in Puerto Madero,408551,Guille,Puerto Madero,-34.61771,-58.3616,Entire home/apt,16862,3,52
34255655,,"Luminoso, nuevo y moderno departamento en Belgrano",258637019,Eloisa,Colegiales,-34.56702,-58.45356,Entire home/apt,8283,5,27
34255765,,Departamento Recoleta reciclado,16596049,Leila,Recoleta,-34.59525299,-58.39222336,Entire home/apt,6212,4,17
34271334,,Departamento luminoso en el centro de Buenos Aires,28832134,Sebastian,San Nicolas,-34.60384,-58.37753,Entire home/apt,4142,4,21
34274276,,Boutique Design Studio in heart of Palermo Soho,2298142,Fernando,Palermo,-34.58517,-58.42654,Entire home/apt,16642,2,5
34276751,,Diseño Original en Palermo Soho IV,15900304,Gabriel,Palermo,-34.58067,-58.42834,Entire home/apt,14495,30,29
34277950,,"Habitación privada y gran espacio verde, downtown",3443857,Camilo,Monserrat,-34.61638,-58.38232,Private room,2018,14,12
34279979,,Departamento amplio y luminoso en Belgrano. 4 amb.,237450233,Claudia Ines,Belgrano,-34.5597892,-58.45730393,Entire home/apt,9318,5,5
34280381,,Sol y paz con terraza en Palermo Soho,12673421,Carlos,Palermo,-34.58535,-58.41981,Entire home/apt,14228,3,43
34280529,,Hermoso apartamento en Palermo Hollywood c/cochera,190841754,Daniel,Palermo,-34.5775,-58.43193,Entire home/apt,10476,1,176
34280807,,Modern studio in the core of Recoleta,450612472,Miguel,Recoleta,-34.588341,-58.403755,Entire home/apt,7073,1,12
34281635,,Apartamento entre San Telmo y Plaza de Mayo.,243526911,Juan Ignacio,Monserrat,-34.61551,-58.37721,Entire home/apt,6005,1,97
34285516,,Fabulosa Av. Corrientes - Obelisco,108984315,Noelia,San Nicolas,-34.60399,-58.38434,Entire home/apt,7248,3,62
34289746,,Tu hogar en Caballito,73647656,Yanina,Caballito,-34.62114,-58.42996,Entire home/apt,31061,3,2
34289771,,Coquis’ house,171423895,Constanza,Palermo,-34.57831,-58.42472,Private room,34176,1,7
34299993,,Cool apartment in Palermo,3227884,Victoria,Palermo,-34.5801,-58.41247,Entire home/apt,8904,4,61
34300631,,BARRIO NORTE. Luminous and Equipped in a Safe Zone,244401215,Marcos,Recoleta,-34.59407,-58.40893,Entire home/apt,5798,5,2
34304542,,"Obelisco, el mejor sitio de  Buenos Aires",173833576,Alejandro Diego,San Nicolas,-34.6051,-58.38177,Shared room,30000,2,0
34310279,,Cozy rooms in shared apartment/WG,51891775,Annika,Retiro,-34.5954,-58.38107,Private room,3313,12,0
34311669,,1BR Apt in Best Palermo Sourrounded by Parks,141691692,Patricia,Palermo,-34.57883,-58.41517,Entire home/apt,4970,28,0
34311674,,Your Own Private Jacuzzi & Terrace (Deluxe Studio),259018871,Palermo Soho Square,Palermo,-34.58293,-58.42374,Entire home/apt,19407,3,43
34312287,,Hermosa casa antigua con techos altos y patio [2],185166340,Justina,Boedo,-34.62325,-58.41769,Private room,4142,3,11
34312696,,THREE-ROOM WITH RIVER VIEW IN PALERMO,61430389,Martín,Palermo,-34.57072,-58.4303,Entire home/apt,13460,15,10
34316421,,STUDIO ARENA hasta 3 personas Corrientes y Dorrego,166623609,Claudio,Villa Crespo,-34.59348,-58.44777,Entire home/apt,3520,2,34
34325688,,"PH a estrenar, monoambiente divisible con patio.",237483550,David,Monte Castro,-34.61816514,-58.49531036,Entire home/apt,2800,30,0
34332634,,Exclusivo estudio con amenities en Recoleta,26398369,Agustina,Palermo,-34.58423,-58.40051,Entire home/apt,8321,3,9
34333086,,"Cozy, close to everything, apartment in Palermo",91999781,Carlos,Palermo,-34.57525,-58.43258,Entire home/apt,8529,2,13
34333965,,Hermosa y amplia residencia con jardín y asador,208405142,Mariano,Flores,-34.61849,-58.46902,Entire home/apt,18228,2,19
34336643,,¡Hermoso monoambiente con diseño nórdico!,147746235,Luciana,Palermo,-34.59648,-58.42146,Entire home/apt,8072,10,25
34339884,,Cozy and warm apartment in Buenos Aires,25765058,Analía,Almagro,-34.61253,-58.41794,Entire home/apt,6212,3,14
34340705,,Luxury & Cozy apartment in Palermo  :),215745307,Maria Jose,Palermo,-34.5928,-58.41549,Entire home/apt,8283,3,114
34341502,,Confortable y moderno estudio en Puerto Madero,175337656,Adriana,Puerto Madero,-34.61502,-58.36319,Entire home/apt,15531,5,2
34342234,,"Great and fully equipped apartment, long stays",47771855,Cristina,Monserrat,-34.61677,-58.38375,Entire home/apt,9318,30,6
34342517,,Palermo AT,134584982,Guillermo,Palermo,-34.59657,-58.4159,Entire home/apt,6241,3,6
34353099,,Palermo Nuevo,13505939,Carolina,Palermo,-34.57744,-58.42351,Entire home/apt,6626,5,1
